IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_velo;KVELOCAT;KVELOLDD;KVELOBTP;KVELOFREQ;KVELOQUI;KVELOUTIL_FLAG;KVELOUTIL_A;KVELOUTIL_B;KVELOUTIL_C;KVELOUTIL_D;KVPARKVELO;KVKM1SEM
110000403300021;1100004033000;21;2803.2546131;1;2;2;5;1;1;0;1;0;0;3;
110000411500021;1100004115000;21;1918.4871847;2;2;2;5;1;1;0;1;0;0;1;
110000411500022;1100004115000;22;1918.4871847;2;2;2;5;2;1;0;1;0;0;1;
110000411500023;1100004115000;23;1918.4871847;2;2;2;5;3;1;0;1;0;0;1;
110000411500024;1100004115000;24;1918.4871847;2;2;2;5;4;1;0;1;0;0;1;
110000412400021;1100004124000;21;2008.8292428;2;2;2;5;1;1;1;1;0;1;2;
110000412400022;1100004124000;22;2008.8292428;2;2;2;6;21;1;0;1;0;0;2;
110000412400023;1100004124000;23;2008.8292428;2;2;2;6;21;1;0;1;0;0;2;
110000414400021;1100004144000;21;2460.7176075;4;2;2;1;1;1;0;0;1;0;6;30
110000424500023;1100004245000;23;1518.4270383;1;2;2;6;1;1;1;1;0;0;5;
110000424500022;1100004245000;22;1518.4270383;6;2;2;1;2;1;0;0;1;0;5;50
110000424500021;1100004245000;21;1518.4270383;1;2;2;2;2;1;0;0;1;0;5;50
110000425500021;1100004255000;21;2794.0534654;1;2;2;6;3;1;0;1;0;0;2;
110000431400023;1100004314000;23;1725.9988628;2;2;2;6;3;1;0;1;0;1;1;
110000431400022;1100004314000;22;1725.9988628;1;2;2;3;2;1;0;1;0;1;1;2
110000431400021;1100004314000;21;1725.9988628;2;2;2;3;1;1;0;1;0;1;1;2
110000431400024;1100004314000;24;1725.9988628;1;2;2;4;4;1;1;1;0;0;1;0
110000431400025;1100004314000;25;1725.9988628;1;2;2;4;6;1;0;1;0;1;1;1
110000431500021;1100004315000;21;1209.6135569;2;2;2;3;2;1;1;1;0;0;1;15
110000443400021;1100004434000;21;2659.2980716;1;2;2;2;2;1;1;0;0;0;5;2
110000443700021;1100004437000;21;3513.569476;4;2;1;2;1;1;0;1;1;1;3;10
110000445300021;1100004453000;21;1409.4656504;2;2;2;5;1;1;0;1;0;0;2;
110000451400021;1100004514000;21;3742.4902697;1;2;1;5;2;1;0;0;1;0;5;
